Price,Close,High,Low,Open,Volume
Ticker,AXP,AXP,AXP,AXP,AXP
Date,,,,,
2020-01-02,117.61851501464844,118.0110423212767,116.10447908040283,116.506354312535,2708000
2020-01-03,116.45026397705078,116.91756038717568,115.83343642348213,116.18857912824122,2090600
2020-01-06,115.94561004638672,116.0390750545172,115.06709743906814,115.3007456986363,2855200
2020-01-07,115.33811950683594,116.26336453183079,115.29138700713406,115.39419280217552,2042300
2020-01-08,117.32879638671875,118.09516229821767,115.70260669751436,115.93625492821985,3458200
2020-01-09,119.45032501220703,119.51574623478137,118.1232047083396,118.21666257910603,2787100
2020-01-10,118.95498657226562,119.78677370661761,118.6185325482156,119.23536730243337,2789200
2020-01-13,120.13258361816406,120.51577018884068,119.28210765579985,119.47837133942237,3285700
2020-01-14,120.37555694580078,121.58117539762785,119.94563797787717,120.20732282417691,3836000
2020-01-15,121.32887268066406,121.34755427331527,120.04847054616936,120.27277800480351,3187200
2020-01-16,122.01112365722656,122.36625931346094,121.22606892985625,121.9643911532921,2424500
2020-01-17,122.91764831542969,123.23540644295223,122.23538530775832,122.85221997465806,3659400
2020-01-21,121.992431640625,123.19806468056926,121.86158918194779,122.53449732964728,3102700
2020-01-22,122.8896255493164,123.61860687042298,122.3662415463051,122.3662415463051,2483800
2020-01-23,122.77747344970703,122.96440345161874,121.6279280938861,122.67466765295836,3841000
2020-01-24,126.27284240722656,129.09531684911028,125.09526053262863,127.44108348705778,8612500
2020-01-27,122.09520721435547,123.34755818883195,120.44097390582763,122.57184442563252,6432400
2020-01-28,123.7868423461914,125.11396272007713,122.56252777468629,123.36627834036443,3712700
2020-01-29,123.06719970703125,124.42237096907498,122.84290651334703,123.81487696107943,2518400
2020-01-30,124.50650024414062,124.6093060607905,121.90833243509059,122.19805402907852,2428500
2020-01-31,121.3755874633789,123.5999233506361,120.91764602359584,123.52515419988926,3522600
2020-02-03,122.43169403076172,123.57189873435165,121.91766498229761,122.01112999502153,2721900
2020-02-04,123.22605895996094,124.61859302117827,123.10455733983997,124.18868834510239,2547500
2020-02-05,124.86164855957031,125.04856433444725,122.7027264383492,124.70275517712743,4084500
2020-02-06,124.53448486328125,125.56254260022521,124.40364244773872,125.38496769468456,1708600
