Price,Close,High,Low,Open,Volume
Ticker,FDX,FDX,FDX,FDX,FDX
Date,,,,,
2020-01-02,142.0885772705078,142.0885772705078,138.88219428613277,139.633396744966,3027600
2020-01-03,140.3296356201172,140.4762164836456,139.1020523401879,139.70668791820222,2216500
2020-01-06,140.43959045410156,140.66861783123522,137.57216321919725,138.56156316586126,2389700
2020-01-07,141.81370544433594,142.1984696267892,139.56007068571898,140.49450597380084,2140100
2020-01-08,143.9482879638672,144.51627137182075,141.0167264265964,141.60304991702768,3053200
2020-01-09,144.7910614013672,145.02924476028159,143.45353582292904,144.69944489016788,2240200
2020-01-10,143.49021911621094,145.13920484543203,143.04132047999585,144.80941888256385,2449600
2020-01-13,145.9179229736328,146.14695035323464,143.56352878026118,143.57268484310538,1985300
2020-01-14,148.52886962890625,150.70004513732815,145.31331564646155,145.79885266751182,5076600
2020-01-15,145.798828125,149.3441815606776,145.35909945855894,149.3441815606776,2971800
2020-01-16,146.15611267089844,147.9242113860267,145.514838776314,147.11803050213632,2343700
2020-01-17,146.5592041015625,147.65853278236958,145.25833019842312,146.01870281381804,1846100
2020-01-21,144.31471252441406,145.80797531816324,143.65511263875308,145.7530109908115,2460400
2020-01-22,142.49169921875,145.52403412387676,142.42757880750273,144.2781243497196,1911100
2020-01-23,141.88706970214844,142.3084723208948,139.91742553080846,141.9969983889998,2059100
2020-01-24,141.14500427246094,142.58328898881382,139.5326425272839,142.58328898881382,1973600
2020-01-27,136.0331268310547,137.5813403959495,135.13532931023005,137.5172199894471,3368400
2020-01-28,135.9506378173828,137.3706102713733,134.76886276857635,137.18739117573088,2190000
2020-01-29,135.63917541503906,137.48056452540735,135.50176457637968,136.6469014942815,2521600
2020-01-30,135.82241821289062,135.95067301091373,131.3334863033577,133.7520153365965,3380200
2020-01-31,132.50608825683594,134.93377303704457,131.54417040815454,134.7597239600688,3286200
2020-02-03,131.77317810058594,135.03452546063625,131.55332078202477,133.2939231213305,1988400
2020-02-04,135.1352996826172,135.8040696445365,133.75197944806234,134.0909354707332,2573700
2020-02-05,137.3706512451172,138.19515838951648,136.33545675554407,136.9584046622801,2013700
2020-02-06,136.16136169433594,138.68066286070982,136.0331069213785,138.68066286070982,1706800
2020-02-07,142.6016082763672,144.23228206980158,134.1367514550359,134.94293228908313,6532600
2020-02-10,143.62765502929688,146.84319453757456,143.09630980952588,145.47820024591692,3948600
2020-02-11,144.74530029296875,146.1744288693925,143.71009208983446,144.99265377080258,2016800
2020-02-12,145.2125244140625,146.4034696631559,144.03990527060148,145.84464226051253,1607500
2020-02-13,147.92420959472656,148.2540095906223,143.35281792525655,144.5529191946009,2624400
2020-02-14,145.313232421875,147.75924223421478,144.74524920829757,146.99888392255573,1679000
2020-02-18,145.26747131347656,147.4111639109874,143.27034559315774,145.945383309309,1924000
2020-02-19,147.6218719482422,148.12573492692698,145.5056614164865,145.6613983410399,1699300
2020-02-20,151.0756378173828,151.3871117271624,146.11948151577852,147.55778030067393,2602500
2020-02-21,149.5548553466797,150.3701921306154,148.12572695944132,149.56401140808313,1645300
2020-02-24,141.8595428466797,144.4887722896818,139.81660886802615,143.15124644648728,3116300
2020-02-25,133.3855438232422,142.72985757944775,132.66180951711522,142.60160281337374,4223800
