Price,Close,High,Low,Open,Volume
Ticker,ITW,ITW,ITW,ITW,ITW
Date,,,,,
2020-01-02,161.71511840820312,161.73292440457092,159.3118250143842,160.35325169897254,1257500
2020-01-03,159.42755126953125,160.28206257025485,158.0033702956574,159.07151281706098,1400800
2020-01-06,158.92018127441406,158.9646894762089,157.37139907512594,158.4751264204584,1587300
2020-01-07,158.2703857421875,158.7866509398289,156.82841253697876,158.13687473503657,1144100
2020-01-08,159.0981903076172,159.73907028810663,157.905433154932,158.67092793262805,1168400
2020-01-09,159.89041137695312,160.04172839764644,158.5374408162884,159.730184566692,1264400
2020-01-10,158.65313720703125,160.80720077135925,158.44840222359096,159.78356660014094,1157500
2020-01-13,160.0595245361328,160.10401915324604,158.61753766058513,158.96467988244012,698500
2020-01-14,159.00921630859375,160.51350406433582,158.62647560870562,159.95273053640886,1127000
2020-01-15,158.80453491210938,159.58782250866807,157.56728250433918,158.80453491210938,1262200
2020-01-16,160.03282165527344,160.2197506738047,158.759971266501,159.80139801604113,1104200
2020-01-17,160.60247802734375,160.8606174323996,159.44534634507824,160.34435220428333,2144900
2020-01-21,158.3327178955078,159.9705164850004,157.9232614571366,159.52546163468202,1175900
2020-01-22,158.0033416748047,159.7123503846843,157.53158469883763,159.40971639670428,1151000
2020-01-23,159.86370849609375,160.02392172368096,155.813706620797,156.98864436909184,1431600
2020-01-24,156.9263458251953,160.21974906173162,156.00062411358732,160.21974906173162,1093800
2020-01-27,154.3183135986328,155.53777311750991,151.6568943009438,154.00678335433273,1226300
2020-01-28,156.53469848632812,157.34470160457764,153.91777369321227,155.07491906471205,1138400
2020-01-29,156.4901885986328,158.42172507228395,156.036237528345,157.38920811347262,1228200
2020-01-30,158.3505096435547,158.43062983859164,154.80787685289985,154.85238505414347,1647600
2020-01-31,155.75140380859375,159.74800156687417,155.68019339712805,158.3505227081045,3070500
2020-02-03,157.0687255859375,160.3532181743455,155.39531540910622,156.2854248934645,1898000
2020-02-04,162.02664184570312,162.61411741398626,159.13378578060477,159.65894716043638,1178200
