Price,Close,High,Low,Open,Volume
Ticker,MCO,MCO,MCO,MCO,MCO
Date,,,,,
2020-01-02,231.67955017089844,231.68912953063796,228.12364796065904,228.76581606264762,869700
2020-01-03,231.10446166992188,231.57411353623826,228.65080013360847,228.90000973103105,475800
2020-01-06,231.8232879638672,231.89996670820355,229.30254188431908,229.71467368203005,714900
2020-01-07,230.9894561767578,235.0245896262876,230.80734596674665,232.50382864029973,743700
2020-01-08,235.41754150390625,236.97026061271194,231.99583817380508,231.99583817380508,887200
2020-01-09,238.51339721679688,239.06929259271925,236.18432575397748,236.32810390290388,811100
2020-01-10,237.7274627685547,240.35365539471925,236.7785795883945,239.61563514348356,594300
2020-01-13,241.04373168945312,241.0724843935364,237.86162927112161,237.86162927112161,707000
2020-01-14,239.0692901611328,241.63797722105966,238.87760058949095,240.85203096485813,551800
2020-01-15,242.51979064941406,244.07249538232628,238.51342399906773,238.95430860533676,856700
2020-01-16,245.4142608642578,245.57721232566607,243.6123616804733,244.35996110645314,603200
2020-01-17,246.92869567871094,247.54209646158972,245.14595486447763,246.91910169383735,830400
2020-01-21,245.69232177734375,247.3887902040508,245.14600565051705,246.17155312104222,911000
2020-01-22,246.77532958984375,247.75295076447966,245.82646111887496,247.37916561680674,596600
2020-01-23,246.41111755371094,247.772147156782,244.74340218441517,245.79771677130773,810000
2020-01-24,245.0021514892578,248.13634222500545,243.81366748546043,247.2257912543859,495600
2020-01-27,244.52296447753906,245.54852644029492,241.5325659599329,242.797743563522,707400
2020-01-28,249.38233947753906,249.669866503648,244.9925798375735,245.66350060678747,781100
2020-01-29,249.8424072265625,252.03726506741697,248.83600415438204,249.6794557482262,441800
2020-01-30,252.85198974609375,252.9286831260563,248.02133055684993,249.0852391416624,563500
2020-01-31,246.12359619140625,252.85199248322238,245.4910074246613,250.81046265644426,827800
2020-02-03,250.1682891845703,250.6570851357987,247.49417080451207,247.49417080451207,748200
2020-02-04,255.77525329589844,258.0851511110692,253.724159039865,254.56761060307508,742100
2020-02-05,253.35995483398438,258.11392028925064,250.9637987627884,258.0660088678075,715200
2020-02-06,256.87762451171875,258.7178567086257,255.15237392090972,255.35367216898032,806900
2020-02-07,256.3887023925781,258.0085062542321,254.80724521846483,256.87752759637675,647800
2020-02-10,257.2800598144531,257.56761608979144,255.2481241685168,255.86155415594376,729300
2020-02-11,259.73370361328125,261.6027169011347,257.5580046025077,258.58356633994424,946300
2020-02-12,262.05316162109375,265.4844435319878,251.55798851035297,260.7017263677966,981300
2020-02-13,261.4397888183594,263.01168125746864,256.90628020424646,261.78485050619287,910900
2020-02-14,266.28961181640625,266.4525633042334,261.66025101458894,262.0244714285944,931900
2020-02-18,269.021240234375,269.1362510512847,262.5420537988499,266.1841995007731,771100
2020-02-19,273.4588928222656,275.3183121354304,270.24803807530895,270.40139556247146,986300
2020-02-20,267.28643798828125,273.7464660062287,263.788055643991,272.81678544277355,1000900
2020-02-21,260.5388488769531,265.33116138379444,257.9318297032333,265.33116138379444,961400
2020-02-24,255.72702026367188,258.02245892455124,253.1722437840929,253.8445348721934,990000
2020-02-25,249.74351501464844,258.79088368738513,248.47572564210273,257.39823227370925,1090700
2020-02-26,250.68475341796875,256.8795812363458,250.1564932003678,250.21411732442058,951300
2020-02-27,234.4148406982422,246.67966165341062,234.2515528325358,246.67966165341062,1993700
2020-02-28,230.53466796875,232.10019159645347,222.8799514980194,227.29798626501233,1987700
2020-03-02,249.25369262695312,249.50341672122195,233.02224201661193,236.1821018089642,1526000
2020-03-03,242.86671447753906,252.87452273819449,239.6204338163071,248.01469355304138,1734900
2020-03-04,258.9156799316406,259.6552382832425,245.5559563442909,246.98701875463433,1221400
2020-03-05,242.6170196533203,254.24796161517625,238.93852859092345,249.96440264325963,1557400
2020-03-06,229.03639221191406,234.8182517858933,222.23646740821624,233.02221694830328,2197400
2020-03-09,202.50897216796875,214.88905493809642,201.11632112136292,209.52017910180706,2551400
2020-03-10,218.59640502929688,218.59640502929688,205.438349945799,212.0654024746377,2208100
2020-03-11,202.90277099609375,212.89136671160412,198.50394922741236,212.17103592393033,1611900
2020-03-12,185.69168090820312,203.73837759318823,181.52337000314898,192.41476868609752,2632300
2020-03-13,204.6412353515625,205.12145600279703,186.84424453405347,196.92887820997848,2329300
2020-03-16,178.06576538085938,186.26794018114362,172.87938955623918,174.80027166241962,2856300
2020-03-17,194.0955047607422,198.26381489547157,178.15219405552645,181.4272865012906,2046600
2020-03-18,167.45291137695312,179.9386456568127,158.69367859356808,175.6838839699885,2819000
2020-03-19,170.87208557128906,174.30085279705716,159.43322815452794,166.6941607786662,2610500
2020-03-20,168.84556579589844,175.76073950096816,164.68685364362128,173.2059623931669,2017300
2020-03-23,158.55923461914062,174.83871007208913,157.69484339887316,164.76369123617792,1699800
2020-03-24,188.00633239746094,188.83231227287231,165.21507076506228,168.32689033578225,1404700
2020-03-25,198.93617248535156,209.28972651420116,184.52955578600591,185.84535542155893,1686800
2020-03-26,215.4557342529297,218.47151844821516,200.84741999367046,201.36606634769947,1650700
2020-03-27,211.4795379638672,217.58794422942856,206.82139255071948,206.82139255071948,1305800
2020-03-30,213.42921447753906,217.3766278379518,209.66428726416703,213.37159035850885,1026900
2020-03-31,203.13328552246094,213.19870379383852,202.42255385753853,209.67388683913745,1379100
2020-04-01,189.7351531982422,199.09945446427753,187.95833119851662,193.941875493777,1455000
2020-04-02,198.54237365722656,198.7824839180683,184.40468032645185,187.67017401183253,1025200
2020-04-03,200.53048706054688,201.9423366234865,194.95032671900827,194.97913877905455,1002100
2020-04-06,220.0946807861328,222.32289646472918,208.8383101880281,211.86369371938483,1429000
2020-04-07,219.66249084472656,230.48665151047746,219.6240649937597,228.85390456842305,1009500
2020-04-08,217.5591583251953,225.08901428658098,216.40663174419475,223.68676359866373,1059600
2020-04-09,232.11936950683594,238.3622358901467,219.10540592422112,219.82573666075697,2129400
2020-04-13,221.9483184814453,230.50585174470777,220.5076569080409,229.3533254170177,944100
2020-04-14,228.3544921875,231.37027693959635,225.90537887575252,228.8251136467268,926900
2020-04-15,220.73818969726562,224.2053828103771,218.77888155826983,221.3048464545054,989000
2020-04-16,225.42510986328125,228.58495425321425,220.5460679046347,221.96751645788876,1263900
2020-04-17,229.8911895751953,237.01766100465287,226.18388622537938,233.3199567902809,1523500
2020-04-20,229.996826171875,231.4086757292603,225.7036533798533,226.32793421862408,809400
2020-04-21,219.23028564453125,225.81891234006022,218.7404659472499,223.90764388299033,807400
2020-04-22,230.3425750732422,231.94650984231015,223.84999895558676,224.22457037285213,788300
2020-04-23,230.50588989257812,233.97308323925245,227.14434566497803,229.76634605905855,757900
2020-04-24,235.50013732910156,236.2204681006966,228.2488046306782,232.77248832456849,1024700
2020-04-27,244.48985290527344,246.95819325210695,238.18936243724391,238.90009403650524,1032900
2020-04-28,242.05995178222656,252.97057713178077,241.21475898560138,250.8864071987239,877800
2020-04-29,244.89328002929688,249.6955004286956,243.27013214292015,245.31587647961612,1203400
2020-04-30,234.2515869140625,241.57015832670353,225.83812784913232,231.46631348522888,1578300
2020-05-01,232.27305603027344,233.06062471224357,228.7098280027919,231.850459630696,780700
2020-05-04,235.6826629638672,236.16288355873672,226.97146899362184,229.5454443476412,830000
2020-05-05,240.5616455078125,242.7898608873184,236.59501970143808,239.2170340421767,1106200
2020-05-06,231.9369354248047,242.18484059686162,230.78439433639488,241.64699590502704,843900
2020-05-07,237.89166259765625,239.39954753055153,234.55893074948955,235.8171062678432,764100
2020-05-08,241.79100036621094,243.68307014129124,239.8701185360921,241.78140123291985,576600
2020-05-11,243.04922485351562,245.1429940931567,237.51708933801268,239.1018113068047,690300
2020-05-12,240.58090209960938,247.102290874431,240.58090209960938,244.8932733611999,655700
2020-05-13,237.92044067382812,243.37573840427658,234.62612049263038,239.0345557275675,751800
2020-05-14,243.82713317871094,244.2593433195163,233.51200701342225,234.90464342500204,1117900
2020-05-15,241.3684539794922,251.04010303054972,239.36113556876384,247.92828320094895,2691200
2020-05-18,249.53221130371094,252.20223651189454,246.31472760890946,246.83337403361784,1125100
2020-05-19,244.40199279785156,251.4957437265636,244.0362321200711,249.5610777065401,958300
2020-05-20,246.6638946533203,250.08084310655246,245.89389382158708,248.31942287783068,740600
2020-05-21,244.25762939453125,246.82754472043447,242.57322680855228,246.05752917233622,1228500
2020-05-22,247.1933135986328,248.791093343669,242.6598577405664,246.1922889468985,384500
2020-05-26,249.96534729003906,253.89239855125368,249.38783197624747,253.1512720123047,805800
2020-05-27,249.08944702148438,253.81540264838404,245.81688481896012,253.52663031327486,806100
2020-05-28,254.86451721191406,258.57020819409087,249.47442390817014,251.21657481658508,1249400
2020-05-29,257.3863220214844,258.07933448739766,252.28497128323048,255.98105735053295,1245800
2020-06-01,266.6554260253906,267.56019336493335,259.5328138964917,259.5328138964917,988600
2020-06-02,266.0778503417969,267.3291090394125,263.1132854487137,266.76122828442396,1034000
2020-06-03,271.98773193359375,272.8636249333448,266.549522936615,269.1098187727363,764900
2020-06-04,265.68316650390625,271.5256429511485,263.40200934664875,269.5043544182826,780300
2020-06-05,269.2060241699219,273.007973014698,267.3483758793542,270.91930097716926,990900
2020-06-08,271.24652099609375,271.3042695826514,263.09401262573084,265.82755342615724,1089800
2020-06-09,264.6725769042969,268.6381368756846,264.3934391275784,266.61684803749387,946400
