Price,Close,High,Low,Open,Volume
Ticker,UNH,UNH,UNH,UNH,UNH
Date,,,,,
2020-01-02,271.77508544921875,274.74836268342204,269.25710883632814,273.1502311322106,2543400
2020-01-03,269.02484130859375,271.19903874205846,264.2118452581632,266.91566252107157,2711400
2020-01-06,270.892333984375,270.994554724607,266.8691468199325,267.5938791083068,3079100
2020-01-07,269.25714111328125,270.8366717946371,267.2037086946038,270.10266710533494,2492900
2020-01-08,274.9342041015625,276.3093499311702,269.48942396668264,270.8459687351067,3379200
2020-01-09,273.3732604980469,276.1421250085239,272.908687628487,273.4383075050519,2838200
2020-01-10,274.21875,275.0921491468665,271.5056323268089,275.0921491468665,2477900
2020-01-13,265.5962829589844,273.5869410165223,264.82507621017254,273.5125934874619,6994900
2020-01-14,267.81695556640625,267.81695556640625,264.109673185356,265.3640255892179,6056300
2020-01-15,275.4079895019531,278.4091393309849,268.5230187331864,268.54159143316105,6081300
2020-01-16,279.4312438964844,279.6635303008288,274.9620557453195,276.88539397855715,3710300
2020-01-17,277.32208251953125,279.39408737174637,274.91559886889905,278.7529746528408,4632200
2020-01-21,279.23614501953125,281.1037368761995,275.03641682988297,275.85406955032033,4962800
2020-01-22,279.2918701171875,280.72276226844923,276.2814474725735,280.59266827502853,3117600
2020-01-23,278.241943359375,279.2825819316432,275.6310463986853,278.75299047076436,3169600
2020-01-24,272.0630798339844,278.6785909713639,270.90164800915596,277.2012530928145,3678500
2020-01-27,263.9609069824219,267.66818796624074,260.22575277147905,267.5938688123324,4399400
2020-01-28,265.61492919921875,267.9377939081429,263.22701747317694,263.7938112069012,4341000
2020-01-29,262.8553161621094,265.9122134930012,260.9877525632287,263.87738211600845,3963800
2020-01-30,261.0714111328125,261.87046295325285,256.36993540038065,261.87046295325285,4211800
2020-01-31,253.1457061767578,259.0271847934955,251.96567322872383,258.4604196415034,5532600
2020-02-03,254.60446166992188,257.23395954075204,251.63121282654583,255.63582800865098,5646800
2020-02-04,260.94122314453125,263.4127536181488,257.26181484299167,257.63346737810065,4290200
2020-02-05,274.77630615234375,275.9563111469905,265.2153876347422,265.3640543699803,5761000
2020-02-06,271.7380065917969,276.20719617831315,269.45231557843834,275.9563369889524,3044000
2020-02-07,268.7275085449219,272.60205841804355,268.4394756591453,272.1188845281407,3425900
2020-02-10,266.692626953125,268.79250481919325,265.2245895657431,265.94932190854905,3147400
2020-02-11,270.1863098144531,270.9110423900067,265.64277333116354,266.5254731659373,2992200
2020-02-12,281.9771728515625,283.3894642359197,273.1781611392721,274.0980063921191,6701900
2020-02-13,280.787841796875,284.2256638726655,278.87380392387814,278.87380392387814,3565500
2020-02-14,277.6100769042969,282.4323440666867,276.24423195618755,280.7970389981289,2485600
2020-02-18,280.7320861816406,281.8563445022119,277.8145551689991,278.4370952438596,3241700
2020-02-19,283.6774597167969,284.97825797217496,281.28027638583404,281.87491486460317,3021100
2020-02-20,280.7227783203125,282.6089428458521,276.78320985836376,281.7169709659396,2885500
2020-02-21,280.0722961425781,281.0757890715353,277.45209926229506,279.18032448204673,2987100
2020-02-24,258.1073303222656,268.5137426646862,257.967964171593,266.5625598447303,8790600
2020-02-25,244.7276611328125,262.00047358286685,243.44543573116488,260.30012133971775,8171200
2020-02-26,244.3653106689453,250.71136310467313,240.37926781399375,245.9634423520179,6806600
2020-02-27,235.9286651611328,243.57553000156264,234.20975419033857,240.10983482428176,7604300
2020-02-28,236.89500427246094,238.88337559033107,227.91945301521773,228.75567851074072,9961000
2020-03-02,253.7589569091797,253.87975038149867,232.58374779056228,239.10634009831028,8866300
2020-03-03,242.87864685058594,260.4859667821559,240.8624168382916,255.84023892213983,9188100
2020-03-04,268.9133605957031,274.8784601024384,262.21419969223655,269.4522526246307,14533000
2020-03-05,262.9110412597656,268.91334248496076,260.10503164655296,261.6474168051611,5908400
2020-03-06,263.756591796875,264.7786577630201,252.63471636064318,255.90532745230738,5361900
2020-03-09,254.06556701660156,261.498731579158,240.87168857595483,245.72182958723383,8070700
2020-03-10,260.1607666015625,263.7844287510296,253.19217463902064,259.90060696917186,7366000
2020-03-11,258.09814453125,265.0295649403358,253.8984153107987,255.2921341476415,7744600
2020-03-12,232.66738891601562,252.94135583430494,232.28643575873795,241.57789318908746,10496600
2020-03-13,253.8596954345703,254.9608297232034,226.07920734344148,243.5481449465889,9308400
2020-03-16,210.0006561279297,229.2612922087135,208.98350383072432,227.61891746536216,10303500
2020-03-17,227.8988494873047,232.1354363410355,213.03343935518626,215.39437329009954,9642200
2020-03-18,202.55397033691406,215.98229219401833,186.81138981086266,210.66322361500443,12917500
2020-03-19,205.11083984375,211.00846888082,194.97660956638134,202.4792926981395,8065200
2020-03-20,192.78367614746094,217.09276875113488,189.86286237758347,208.26497019841045,9364100
2020-03-23,181.83758544921875,191.99981057676985,175.17474933582506,188.53774211358132,10654500
2020-03-24,205.11083984375,205.54943103468509,185.70089427748906,188.63104852215483,8894400
2020-03-25,218.81910705566406,230.9689740141912,201.5647832180264,204.44827600502373,10014000
2020-03-26,238.32237243652344,240.72061280474466,216.77547271473358,218.38985341514274,7517600
2020-03-27,226.24717712402344,234.78569544985177,222.3185374275213,226.7044357794125,4879500
2020-03-30,234.487060546875,237.10926713259403,226.4244687375488,226.4244687375488,5329000
2020-03-31,232.71401977539062,237.5198412446491,226.76038855638566,227.20830632462503,5450000
2020-04-01,221.4600067138672,230.129153486259,219.7056418010052,222.7384456085526,4548800
2020-04-02,224.37147521972656,225.82721864846883,210.92448741919594,219.57498031882105,4636800
2020-04-03,214.15325927734375,223.3449782749409,212.0816200528311,222.39315481214777,4650300
2020-04-06,231.74351501464844,232.6300239752884,219.40700218320225,223.9608779241558,6365900
2020-04-07,231.46359252929688,248.8858831504484,230.06383685202016,242.44701273059587,4984100
2020-04-08,249.9309844970703,251.17211692184785,229.80250888647157,231.13694979616912,6390200
2020-04-09,246.4783172607422,252.3292857715664,244.11739714464446,247.290171001496,4923300
